GSM	Title	Group	neighbor_feature	neighbor_feature_label	n_spots	high_spots	other_spots	plasma_high_threshold_q75	neighbor_median_plasma_high	neighbor_median_other	median_difference_high_minus_other	mannwhitney_p	analysis_note	fdr
GSM8329296	hMM4	MM	endothelial_angiogenic_score	Endothelial angiogenic	1126	282	844	1.1234165966097363	0.20912175633775015	0.0790838656951714	0.13003789064257876	1.1789909029584696e-39	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.5019575471395246e-39
GSM8329297	hMM5	MM	endothelial_angiogenic_score	Endothelial angiogenic	2993	749	2244	1.5961236900862303	0.0970047818165707	0.0	0.0970047818165707	3.6638856888997714e-75	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.4196266429731203e-74
GSM8329298	hMM6	MM	endothelial_angiogenic_score	Endothelial angiogenic	875	219	656	0.8778015033811581	0.14543832900889542	0.07208426893607318	0.07335406007282223	3.015708130054803e-19	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	6.495371357041114e-19
GSM8329291	hHBM2	control	endothelial_angiogenic_score	Endothelial angiogenic	822	206	616	0.20487118377339097	0.08932586773178958	0.07595242736971299	0.013373440362076591	0.010322528968682208	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	0.01051021131356734
GSM8329293	hMM1	MM	endothelial_score	Endothelial marker	373	94	279	1.239198807649359	0.17771744462299432	0.10434478329014614	0.07337266133284819	1.7711647423291905e-06	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	2.1562005558790146e-06
GSM8329294	hMM2	MM	endothelial_score	Endothelial marker	876	219	657	1.3306737406787987	0.40152951198122083	0.16877994132199878	0.23274957065922205	1.0798413245919948e-21	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.023555708857585e-21
GSM8329295	hMM3	MM	endothelial_score	Endothelial marker	977	245	732	1.6433132704726907	0.4246808013709405	0.131735487685825	0.2929453136851155	2.601922129359369e-97	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	7.285381962206234e-96
GSM8329296	hMM4	MM	endothelial_score	Endothelial marker	1126	282	844	1.1234165966097363	0.25022389817863777	0.06255194652835248	0.18767195165028527	1.4443810701356201e-39	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	6.221949225199594e-39
GSM8329297	hMM5	MM	endothelial_score	Endothelial marker	2993	749	2244	1.5961236900862303	0.12707179254558862	0.0	0.12707179254558862	9.293552468636216e-75	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	7.434841974908973e-74
GSM8329298	hMM6	MM	endothelial_score	Endothelial marker	875	219	656	0.8778015033811581	0.14079491376192158	0.06557069860511801	0.07522421515680357	2.725177520052473e-16	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.086998037431283e-16
GSM8329291	hHBM2	control	endothelial_score	Endothelial marker	822	206	616	0.20487118377339097	0.0741515489576359	0.06308856089062273	0.011062988067013169	0.04430342783456196	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	0.04430342783456196
GSM8329293	hMM1	MM	immune_pan_score	Immune pan	373	94	279	1.239198807649359	0.14249806779240864	0.06717052441875047	0.07532754337365817	3.165072697683394e-11	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.544719771032566e-11
GSM8329294	hMM2	MM	immune_pan_score	Immune pan	876	219	657	1.3306737406787987	0.43074781100694454	0.2550361207249426	0.17571169028200195	4.7811276473489855e-24	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.409174464481806e-23
GSM8329295	hMM3	MM	immune_pan_score	Immune pan	977	245	732	1.6433132704726907	0.29012591231743995	0.11057560832628834	0.17955030399115163	2.8213484428317273e-83	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.1599102559715346e-82
GSM8329296	hMM4	MM	immune_pan_score	Immune pan	1126	282	844	1.1234165966097363	0.1912244896029186	0.0	0.1912244896029186	3.2517972934432284e-53	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.8210064843282078e-52
GSM8329297	hMM5	MM	immune_pan_score	Immune pan	2993	749	2244	1.5961236900862303	0.0	0.0	0.0	4.963263794288927e-13	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	7.941222070862283e-13
GSM8329298	hMM6	MM	immune_pan_score	Immune pan	875	219	656	0.8778015033811581	0.09820250209752272	0.0	0.09820250209752272	2.4564139328666552e-19	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.502367209621307e-19
GSM8329291	hHBM2	control	immune_pan_score	Immune pan	822	206	616	0.20487118377339097	0.09084193467359235	0.05976724501489431	0.031074689658698036	0.008464044581474185	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	0.008777527714121377
GSM8329293	hMM1	MM	myeloid_inflammatory_score	Myeloid inflammatory	373	94	279	1.239198807649359	0.7311036554523287	0.5053865777432789	0.2257170777090498	3.068201193166097e-10	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.2954816704325355e-10
GSM8329294	hMM2	MM	myeloid_inflammatory_score	Myeloid inflammatory	876	219	657	1.3306737406787987	1.401372161194806	1.2206239229712268	0.18074823822357922	2.064228343688004e-11	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.0420207170139006e-11
GSM8329295	hMM3	MM	myeloid_inflammatory_score	Myeloid inflammatory	977	245	732	1.6433132704726907	0.27813409869078576	0.4385418206612804	-0.16040772197049463	1.8493526098022844e-19	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.415519020316323e-19
GSM8329296	hMM4	MM	myeloid_inflammatory_score	Myeloid inflammatory	1126	282	844	1.1234165966097363	0.5172374601626111	0.2408963000145641	0.276341160148047	6.977258109823166e-32	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	2.6048430276673157e-31
GSM8329297	hMM5	MM	myeloid_inflammatory_score	Myeloid inflammatory	2993	749	2244	1.5961236900862303	0.14024764999464268	0.06823604792999802	0.07201160206464466	1.6917661017550638e-62	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.0526544633142619e-61
GSM8329298	hMM6	MM	myeloid_inflammatory_score	Myeloid inflammatory	875	219	656	0.8778015033811581	0.14521238168655948	0.06615607188922229	0.07905630979733719	1.7814734371365328e-20	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.53465965816572e-20
GSM8329291	hHBM2	control	myeloid_inflammatory_score	Myeloid inflammatory	822	206	616	0.20487118377339097	0.5008716590089597	0.4182117345781543	0.08265992443080539	1.0127250827697093e-05	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.2066511624490154e-05
GSM8329293	hMM1	MM	myeloid_score	Myeloid marker	373	94	279	1.239198807649359	0.9570519364256984	0.6770626084285097	0.2799893279971887	5.320635427499345e-09	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	6.929199626510775e-09
GSM8329294	hMM2	MM	myeloid_score	Myeloid marker	876	219	657	1.3306737406787987	1.97362182094725	1.747759497168415	0.22586232377883508	4.309215114430715e-09	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.7456201525742865e-09
GSM8329295	hMM3	MM	myeloid_score	Myeloid marker	977	245	732	1.6433132704726907	0.1309873224192102	0.5509496198204415	-0.41996229740123137	2.226649527605139e-47	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.1335670322353437e-46
GSM8329296	hMM4	MM	myeloid_score	Myeloid marker	1126	282	844	1.1234165966097363	0.6364488489000665	0.3203433516027489	0.3161054972973176	1.1298341930243738e-24	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.515039711631385e-24
GSM8329297	hMM5	MM	myeloid_score	Myeloid marker	2993	749	2244	1.5961236900862303	0.08134656108065877	0.0	0.08134656108065877	2.964116797192027e-17	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.928233594384054e-17
GSM8329298	hMM6	MM	myeloid_score	Myeloid marker	875	219	656	0.8778015033811581	0.1739991616581976	0.08543112938129625	0.08856803227690134	5.591558142186818e-17	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.0797491584912475e-16
GSM8329291	hHBM2	control	myeloid_score	Myeloid marker	822	206	616	0.20487118377339097	0.6778503189334644	0.5709377648756173	0.10691255405784705	1.7857568065722885e-05	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	2.0833829410010035e-05
GSM8329293	hMM1	MM	stromal_ecm_score	Stromal ECM	373	94	279	1.239198807649359	0.5547463415177478	0.40773350494107957	0.14701283657666825	0.0001326009723431515	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	0.00014560106767091144
GSM8329294	hMM2	MM	stromal_ecm_score	Stromal ECM	876	219	657	1.3306737406787987	0.6543975762896541	0.3266410746746151	0.327756501615039	3.6636138333671485e-19	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	7.598606469205937e-19
GSM8329295	hMM3	MM	stromal_ecm_score	Stromal ECM	977	245	732	1.6433132704726907	0.4386731208411839	0.17884598040572203	0.25982714043546185	9.258292710606813e-84	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.296160979484954e-82
GSM8329296	hMM4	MM	stromal_ecm_score	Stromal ECM	1126	282	844	1.1234165966097363	0.6740627327182425	0.24798496039106566	0.4260777723271768	4.40547628492252e-71	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.083833399445764e-70
GSM8329297	hMM5	MM	stromal_ecm_score	Stromal ECM	2993	749	2244	1.5961236900862303	0.855973687892214	0.3935635709981051	0.4624101168941089	2.0205399025835294e-138	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.1315023454467766e-136
GSM8329298	hMM6	MM	stromal_ecm_score	Stromal ECM	875	219	656	0.8778015033811581	0.3098906685485889	0.19249092056201839	0.11739974798657049	7.984383511095591e-13	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.242015212837092e-12
GSM8329291	hHBM2	control	stromal_ecm_score	Stromal ECM	822	206	616	0.20487118377339097	0.27569857574952494	0.21358776847934008	0.062110807270184865	1.1126904105593264e-11	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.68407197273844e-11
GSM8329293	hMM1	MM	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	373	94	279	1.239198807649359	0.10786810039440249	0.05066200136237806	0.05720609903202443	3.0714968046845076e-13	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.058935913598013e-13
GSM8329294	hMM2	MM	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	876	219	657	1.3306737406787987	0.2583157105694226	0.1270268084353577	0.13128890213406488	2.0557368847295864e-27	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	6.771839149697462e-27
GSM8329295	hMM3	MM	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	977	245	732	1.6433132704726907	0.09755927106578756	0.11636596920818455	-0.018806698142396994	0.00018496055458308076	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	0.00019918828955101003
GSM8329296	hMM4	MM	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	1126	282	844	1.1234165966097363	0.049383335430757486	0.0	0.049383335430757486	2.2839869069431613e-13	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.875856569358092e-13
GSM8329297	hMM5	MM	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	2993	749	2244	1.5961236900862303	0.0	0.0	0.0	3.832866079804422e-14	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	6.707515639657738e-14
GSM8329298	hMM6	MM	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	875	219	656	0.8778015033811581	0.07329377918348727	0.03594451157060427	0.037349267612883	4.438236053182993e-16	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	8.017458676717664e-16
GSM8329291	hHBM2	control	t_nk_cytotoxic_exhaustion_score	T/NK cytotoxic	822	206	616	0.20487118377339097	0.10500583538499098	0.08574934654050148	0.019256488844489494	0.0004368149879179201	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	0.00046154036459251935
